word,freq,english_word
技术,197,technology
声音,144,sound
科技,138,science and technology
模型,137,model
发展,130,develop
成都,129,Chengdu
生成,126,generate
企业,116,enterprise
视频,111,Video
算力,104,Computility
产业,103,industry
使用,99,use
创作,99,creation
数字,98,digital
中国,92,China
网络,88,Internet
应用,87,apply
作品,83,opus
创新,80,innovation
平台,78,platform
数据,75,data
中心,72,centre
内容,70,content
文化,70,culture
领域,70,field
产品,69,products
公司,68,firm
行业,67,sector
进行,67,carry out
北京,60,Beijing
服务,60,serve
一个,57,One
上海,56,Shanghai
歌手,55,singer
提供,53,offer
用户,53,user
保护,52,protection
文艺,51,Literary
智能,51,intelligent
未来,51,future
人类,49,mankind
可能,49,possible
信息,48,Information
场景,48,scenario
原告,47,plaintiff
艺术,47,art
实现,45,implement
相关,45,correlation
生成式,44,Generative
需要,44,need
被告,43,defendant
软件,43,Software
问题,43,issue
侵权,42,Infringement
带来,41,bring forth
目前,41,presently
设计,40,devise
经济,39,economy
能够,39,can
制作,38,make
活动,38,activity
利用,37,exploit
成为,37,become
研发,37,R&D
传统,36,tradition
AIGC,35,AIGC
发布,35,publish
国家,35,country
打造,35,build
融合,35,Fusion
认为,35,think
全球,34,globe
形式,34,form
歌曲,34,song
记者,34,reporter
推动,33,nudge
法律,33,law
表示,33,denote
训练,33,training
互联网,32,internet
今年,32,this year
合作,32,cooperate
国际,32,international
探索,32,explore
方面,31,aspect
落地,31,be born
不能,30,No
全国,30,nationwide
智算,30,Wise calculations
游戏,30,Game
算法,30,algorithm
艺术家,30,artist
观众,30,spectator
侵犯,29,infringe
具有,29,have
功能,29,function
工作,29,Job
电影,29,Movie
语音,29,Voice
过程,29,process
包括,28,include
授权,28,authorization
已经,27,already
法院,27,court
能力,27,ability
赋能,27,Empowering
不同,26,different
著作权,26,copyright
音乐会,26,concert
产生,25,produce
有限公司,25,Ltd
不断,24,constant
互动,24,interaction
介绍,24,introduce
出现,24,appear
合成,24,synthesis
基础,24,foundation
情感,24,emotion
南京,23,nanking
孩子,23,child
完成,23,finish
工具,23,tool
文本,23,text
时代,23,era
深度,23,depth
编程,23,programming
规范,23,specification
优势,22,advantage
创意,22,originality
存在,22,exist
形成,22,formation
支持,22,support
方式,22,manner
权益,22,Rights
演绎,22,illation
行为,22,behavior
表达,22,expression
了解,21,understand
作曲,21,composition
展示,21,show
建设,21,construction
开放,21,opening
引发,21,Cause
推出,21,launch
提升,21,hoist
没有,21,No
涉及,21,involve
演唱,21,singing
生活,21,life
腾讯,21,Tencent
规模,21,scale
人士,20,personage
体验,20,experience
创作者,20,creator
影响,20,effect
成本,20,cost
持续,20,persistent
政策,20,policy
现场,20,scene
舞台,20,stage
虚拟,20,dummy
音色,20,timbre
项目,20,project
风险,20,risk
世界,19,world
个人,19,individual
关注,19,concern
实验室,19,laboratory
资源,19,resource
赛道,19,Track
输入,19,input
重点,19,focus
需求,19,demand
一定,18,certain
万元,18,"10,000 yuan"
万兴,18,Wondershare
上影,18,Upper Shadow
主题,18,topic
加快,18,quicken
参与,18,participate
感受,18,feel
版权,18,copyright
社会,18,society
结合,18,combine
联合,18,united
行者,18,Walker
负责人,18,Head
集团,18,clique
一场,17,A
全新,17,brand new
图片,17,Image
学习,17,study
审美,17,Aesthetic
市场,17,market
布局,17,layout
开发,17,exploitation
录音,17,recording
教育,17,educate
显示,17,display
机器人,17,robot
构成,17,constitute
管理,17,manage
网易,17,NetEase
规定,17,stipulate
达到,17,attain
青少年,17,juvenile
IP,16,IP
不少,16,many
人才,16,talent
关键,16,The essential
制品,16,goods
助力,16,Power
发现,16,found
团队,16,team
情况,16,circumstance
成都市,16,Chengdu City
挑战,16,challenge
推进,16,push forward
文博会,16,Cultural Fair
文字,16,writing
旋律,16,melody
未经,16,Without
权利,16,right
生态,16,ecology
这是,16,This is
配音,16,dub
音乐创作,16,Music composition
音频,16,audio
高校,16,University
亿元,15,100 million yuan
传播,15,disseminate
呈现,15,present
实践,15,practice
容易,15,easy
层面,15,Level
希望,15,wish
很多,15,A lot
提出,15,put forth
是否,15,Whether
核心,15,core
模仿,15,imitate
正在,15,ing
法治,15,rule of law
要求,15,request
认定,15,cognizance
运用,15,wield
进一步,15,further
之间,14,between
作曲家,14,composer
最终,14,ultimately
合法,14,legitimate
听障,14,Hearing impaired
国内,14,domestic
多个,14,multiple
大量,14,substantial
天幕,14,Sky
宇宙,14,universe
工业,14,industry
年轻人,14,youngster
我国,14,Our country
投入,14,input
正式,14,formal
独创性,14,Originality
现在,14,Right now
生产,14,produce
突破,14,breakthrough
系统,14,system
自动,14,automatic
自得,14,Complacent
语言,14,language
丰富,13,abundant
主要,13,main
交流,13,Communication
侵权案,13,Infringement cases
克隆,13,clone
城市,13,city
学校,13,school
学生,13,student
拥有,13,possess
文艺创作,13,Literary and artistic creation
明确,13,explicit
更好,13,better
未成年人,13,minor
殷某,13,Yin
琴社,13,Piano Society
用于,13,For
看来,13,seemingly
真正,13,genuine
知识产权,13,intellectual property
研究,13,research
翻译,13,Translation
获得,13,obtain
通用,13,general
重要,13,significant
一起,12,together
价值,12,value
共同,12,common
加速,12,hasten
即可,12,Can
去年,12,Last year
同样,12,equally
告诉,12,tell
围绕,12,enclose
垂类,12,Perpendiculars
处理,12,dispose
复原,12,rehabilitation
帮助,12,Help
开展,12,Carry out
悠然,12,Leisurely
效率,12,efficiency
方向,12,direction
标准,12,standard
模式,12,mode
海派,12,Shanghai
直接,12,direct
积极,12,aggressive
空间,12,space
细分,12,subdivision
起来,12,Get up
超过,12,exceed
集群,12,cluster
音乐节,12,Music festivals
音视频,12,Audio and video
首例,12,First
高新区,12,High-tech Zone
高质量,12,Quality
主体,11,Subject
代表,11,representative
使用者,11,user
侵害,11,infraction
促进,11,facilitate
具体,11,Specific
具备,11,have
出台,11,introduced
分析,11,analyse
判断,11,judgment
包含,11,contain
南京市,11,Nanjing
变化,11,variation
合理,11,plausible
多媒体,11,multimedia
娱乐,11,amusement
完善,11,refine
展现,11,Show
录制,11,Recording
快速,11,fast
政府,11,government
数字化,11,digitization
文生,11,Vincent
智慧,11,wisdom
曲目,11,track
案例,11,Case
江南,11,Gangnam
深入,11,thorough
深圳,11,Shenzhen
独特,11,unique
视觉,11,vision
聚焦,11,focus
自然人,11,natural person
行动,11,Let's go
表演,11,performance
调研,11,Research
运营,11,operation
这一,11,This
驱动,11,drive
魅力,11,charm
一首,10,One song
上线,10,Online
专业,10,specialized
个人信息,10,Personal Information
为例,10,For example
之春,10,Spring
乐器,10,musical instrument
先进,10,Advanced
创始人,10,founder
原创,10,Original
变革,10,change
坚持,10,Hang on
广泛,10,extensive
应对,10,Cope
强化,10,aggrandizement
必须,10,Have to
思考,10,ponder
成果,10,achievement
收集,10,gather
数量,10,quantity
时间,10,Time
机器,10,machine
构建,10,construct
残疾人,10,handicapped
治理,10,govern
注意,10,note
活力,10,vitality
演出,10,perform
演奏家,10,player
玩家,10,gamer
生产力,10,productivity
看到,10,see
知识,10,knowledge
